SYMBOL,title
AXISCADES,AXISCADES: AXISCADES Technologies Limited
AXITA,AXITA: Axita Cotton Limited
AYMSYNTEX,AYMSYNTEX: AYM Syntex Limited
AZAD,AZAD: Azad Engineering Limited
BAFNAPH,BAFNAPH: Bafna Pharmaceuticals Limited
BAGFILMS,BAGFILMS: B.A.G Films and Media Limited
BAIDFIN,BAIDFIN: Baid Finserv Limited
BAJAJ-AUTO,BAJAJ-AUTO: Bajaj Auto Limited
BAJAJCON,BAJAJCON: Bajaj Consumer Care Limited
BAJAJELEC,BAJAJELEC: Bajaj Electricals Limited
BAJAJFINSV,BAJAJFINSV: Bajaj Finserv Limited
BAJAJHCARE,BAJAJHCARE: Bajaj Healthcare Limited
BAJAJHIND,BAJAJHIND: Bajaj Hindusthan Sugar Limited
BAJAJHLDNG,BAJAJHLDNG: Bajaj Holdings & Investment Limited
BAJEL,BAJEL: Bajel Projects Limited
BAJFINANCE,BAJFINANCE: Bajaj Finance Limited
BALAJITELE,BALAJITELE: Balaji Telefilms Limited
BALAMINES,BALAMINES: Balaji Amines Limited
BALAXI,BALAXI: BALAXI PHARMACEUTICALS LIMITED
BALKRISHNA,BALKRISHNA: Balkrishna Paper Mills Limited
BALKRISIND,BALKRISIND: Balkrishna Industries Limited
BALMLAWRIE,BALMLAWRIE: Balmer Lawrie & Company Limited
BALPHARMA,BALPHARMA: Bal Pharma Limited
BALRAMCHIN,BALRAMCHIN: Balrampur Chini Mills Limited
BALUFORGE,BALUFORGE: Balu Forge Industries Limited
BANARBEADS,BANARBEADS: Banaras Beads Limited
BANARISUG,BANARISUG: Bannari Amman Sugars Limited
BANCOINDIA,BANCOINDIA: Banco Products (I) Limited
BANDHANBNK,BANDHANBNK: Bandhan Bank Limited
BANG,BANG: Bang Overseas Limited
BANKA,BANKA: Banka BioLoo Limited
BANKBARODA,BANKBARODA: Bank of Baroda
BANKINDIA,BANKINDIA: Bank of India
BANSALWIRE,BANSALWIRE: Bansal Wire Industries Limited
BANSWRAS,BANSWRAS: Banswara Syntex Limited
BARBEQUE,BARBEQUE: Barbeque Nation Hospitality Limited
BASF,BASF: BASF India Limited
BASML,BASML: Bannari Amman Spinning Mills Limited
BATAINDIA,BATAINDIA: Bata India Limited
BAYERCROP,BAYERCROP: Bayer Cropscience Limited
BBL,BBL: Bharat Bijlee Limited
